athlete_id,name,country,contests,tracked_class_ones,total_class_ones,profile_url,scraped_at
1373,Sarah Chappelow,USA,16,33,34,https://www.gripsport.org/athlete/1373,2026-09-05 13:42:03.235948
2040,Rachel Hartviksen,Canada,19,22,22,https://www.gripsport.org/athlete/2040,2026-09-05 13:41:17.238703
1918,Jesse Hagedorn,USA,10,22,22,https://www.gripsport.org/athlete/1918,2026-09-05 13:45:37.418199
2041,Corinne Lalonde,Canada,20,21,21,https://www.gripsport.org/athlete/2041,2026-09-05 13:41:04.780451
2109,Emina Alic,Canada,14,20,20,https://www.gripsport.org/athlete/2109,2026-09-05 13:43:01.581041
1,Jedd Johnson,USA,70,17,23,https://www.gripsport.org/athlete/1,2026-09-05 13:39:44.602369
1944,Tammy McClure,USA,11,16,16,https://www.gripsport.org/athlete/1944,2026-09-05 13:44:37.478455
2073,Sarah Tolledo,Canada,10,14,14,https://www.gripsport.org/athlete/2073,2026-09-05 13:45:14.856583
1870,Ben Helms,USA,13,13,14,https://www.gripsport.org/athlete/1870,2026-09-05 13:43:32.033159
331,Eric Roussin,Canada,52,12,13,https://www.gripsport.org/athlete/331,2026-09-05 13:39:49.330083
2083,Isaac Pitt,Australia,15,12,12,https://www.gripsport.org/athlete/2083,2026-09-05 13:42:26.046015
160,Elizabeth Horne,England,20,11,13,https://www.gripsport.org/athlete/160,2026-09-05 13:41:00.304906
857,Tanner Merkle,USA,11,11,13,https://www.gripsport.org/athlete/857,2026-09-05 13:44:43.48993
1177,Yves Gravelle,Canada,6,11,13,https://www.gripsport.org/athlete/1177,2026-09-05 17:18:05.428001
394,Lucas Raymond,USA,49,10,16,https://www.gripsport.org/athlete/394,2026-09-05 13:39:54.046659
1980,Jaland Worley,USA,18,10,10,https://www.gripsport.org/athlete/1980,2026-09-05 13:41:37.126092
1831,Kathy Facey,Canada,21,8,8,https://www.gripsport.org/athlete/1831,2026-09-05 13:40:50.646797
2778,Megan Galvin,Australia,5,8,8,https://www.gripsport.org/athlete/2778,2026-09-05 17:18:34.92581
